id,count
0,63.0
1,38.0
2,68.0
3,70.0
4,50.0
5,43.0
6,65.0
7,69.0
8,61.0
9,61.0
10,60.0
11,61.0
12,40.0
13,43.0
14,63.0
15,38.0
16,68.0
17,70.0
18,50.0
19,43.0
20,65.0
21,69.0
22,61.0
23,61.0
24,60.0
25,61.0
26,40.0
27,43.0
28,50.0
29,43.0
30,65.0
31,69.0
32,61.0
33,61.0
34,60.0
35,61.0
36,40.0
37,43.0
38,65.0
39,67.0
40,61.0
41,68.0
42,50.0
43,43.0
44,65.0
45,69.0
46,61.0
47,61.0
48,60.0
49,61.0
50,40.0
51,43.0
52,65.0
53,67.0
54,61.0
55,68.0
56,52.0
57,63.0
58,38.0
59,68.0
60,70.0
61,50.0
62,43.0
63,65.0
64,69.0
65,61.0
66,61.0
67,60.0
68,61.0
69,40.0
70,25.0
71,63.0
72,67.0
73,36.0
74,58.0
75,37.0
76,23.0
77,22.0
78,47.0
79,49.0
80,17.0
81,19.0
82,22.0
83,22.0
84,16.0
85,16.0
86,13.0
87,13.0
88,11.0
89,17.0
90,8.0
91,23.0
92,20.0
93,19.0
94,11.0
95,16.0
96,18.0
97,7.0
98,13.0
99,13.0
100,11.0
101,17.0
102,8.0
103,23.0
104,20.0
105,19.0
106,11.0
107,16.0
108,18.0
109,7.0
110,5.0
111,11.0
112,16.0
113,13.0
114,13.0
115,11.0
116,17.0
117,8.0
118,23.0
119,20.0
120,19.0
121,11.0
122,16.0
123,18.0
124,7.0
125,5.0
126,13.0
127,16.0
128,16.0
129,13.0
130,13.0
131,11.0
132,17.0
133,8.0
134,23.0
135,20.0
136,19.0
137,11.0
138,16.0
139,18.0
140,16.0
141,16.0
142,13.0
143,13.0
144,11.0
145,17.0
146,8.0
147,23.0
148,20.0
149,19.0
150,11.0
151,16.0
152,18.0
153,7.0
154,13.0
155,16.0
156,16.0
157,13.0
158,13.0
159,11.0
160,17.0
161,8.0
162,23.0
163,20.0
164,19.0
165,11.0
166,16.0
167,18.0
168,8.0
169,4.0
170,1.0
171,3.0
172,3.0
173,1.0
174,1.0
175,3.0
176,0.0
177,0.0
178,3.0
179,2.0
180,1.0
181,1.0
182,23.0
183,26.0
184,12.0
185,15.0
186,6.0
187,8.0
188,7.0
189,9.0
190,7.0
191,11.0
192,12.0
193,9.0
194,8.0
195,15.0
196,12.0
197,16.0
198,21.0
199,14.0
200,11.0
201,12.0
202,14.0
203,10.0
204,23.0
205,13.0
206,19.0
207,12.0
208,15.0
209,10.0
210,3.0
211,9.0
212,4.0
213,5.0
214,4.0
215,2.0
216,2.0
217,2.0
218,5.0
219,3.0
220,4.0
221,0.0
222,1.0
223,4.0
224,21.0
225,20.0
226,15.0
227,15.0
228,8.0
229,17.0
230,15.0
231,19.0
232,17.0
233,24.0
234,34.0
235,25.0
236,19.0
237,16.0
238,18.0
239,9.0
240,5.0
241,17.0
242,15.0
243,18.0
244,16.0
245,6.0
246,18.0
247,15.0
248,15.0
249,19.0
250,15.0
251,19.0
252,26.0
253,32.0
254,22.0
255,20.0
256,37.0
257,16.0
258,15.0
259,19.0
260,32.0
261,40.0
262,18.0
263,27.0
264,22.0
265,16.0
266,22.0
267,23.0
268,39.0
269,20.0
270,26.0
271,22.0
272,19.0
273,21.0
274,16.0
275,25.0
276,22.0
277,22.0
278,24.0
279,26.0
280,36.0
281,20.0
282,30.0
283,23.0
284,29.0
285,25.0
286,13.0
287,30.0
288,27.0
289,26.0
290,29.0
291,24.0
292,30.0
293,18.0
294,36.0
295,28.0
296,39.0
297,27.0
298,18.0
299,28.0
300,34.0
301,27.0
302,26.0
303,41.0
304,46.0
305,49.0
306,48.0
307,56.0
308,19.0
309,22.0
310,27.0
311,25.0
312,27.0
313,28.0
314,41.0
315,32.0
316,32.0
317,32.0
318,22.0
319,28.0
320,37.0
321,48.0
322,27.0
323,28.0
324,41.0
325,32.0
326,32.0
327,32.0
328,22.0
329,28.0
330,37.0
331,48.0
332,42.0
333,28.0
334,35.0
335,36.0
336,318.0
337,310.0
338,322.0
339,279.0
340,269.0
341,304.0
342,240.0
343,248.0
344,260.0
345,239.0
346,219.0
347,212.0
348,181.0
349,226.0
350,503.0
351,543.0
352,542.0
353,507.0
354,470.0
355,533.0
356,459.0
357,468.0
358,489.0
359,481.0
360,491.0
361,487.0
362,512.0
363,479.0
364,234.0
365,239.0
366,243.0
367,232.0
368,266.0
369,257.0
370,264.0
371,229.0
372,219.0
373,201.0
374,244.0
375,242.0
376,228.0
377,245.0
378,285.0
379,306.0
380,305.0
381,324.0
382,317.0
383,293.0
384,333.0
385,361.0
386,352.0
387,405.0
388,388.0
389,361.0
390,396.0
391,405.0
392,255.0
393,220.0
394,194.0
395,202.0
396,209.0
397,201.0
398,195.0
399,210.0
400,225.0
401,222.0
402,226.0
403,184.0
404,196.0
405,213.0
406,225.0
407,195.0
408,255.0
409,220.0
410,194.0
411,202.0
412,209.0
413,201.0
414,195.0
415,210.0
416,225.0
417,222.0
418,226.0
419,184.0
420,17.0
421,23.0
422,13.0
423,13.0
424,14.0
425,8.0
426,12.0
427,22.0
428,22.0
429,19.0
430,9.0
431,26.0
432,5.0
433,24.0
434,32.0
435,6.0
436,9.0
437,14.0
438,5.0
439,14.0
440,12.0
441,31.0
442,10.0
443,16.0
444,13.0
445,7.0
446,20.0
447,21.0
448,49.0
449,24.0
450,32.0
451,28.0
452,11.0
453,15.0
454,28.0
455,26.0
456,28.0
457,36.0
458,37.0
459,9.0
460,17.0
461,20.0
462,32.0
463,6.0
464,9.0
465,14.0
466,5.0
467,14.0
468,12.0
469,31.0
470,10.0
471,16.0
472,13.0
473,7.0
474,20.0
475,21.0
476,0.0
477,1.0
478,1.0
479,0.0
480,3.0
481,2.0
482,12.0
483,12.0
484,1.0
485,5.0
486,12.0
487,3.0
488,5.0
489,10.0
490,8.0
491,7.0
492,20.0
493,19.0
494,13.0
495,25.0
496,23.0
497,16.0
498,24.0
499,48.0
500,37.0
501,37.0
502,11.0
503,12.0
504,28.0
505,32.0
506,17.0
507,23.0
508,21.0
509,26.0
510,22.0
511,20.0
512,18.0
513,22.0
514,23.0
515,27.0
516,21.0
517,27.0
518,17.0
519,23.0
520,21.0
521,26.0
522,22.0
523,20.0
524,18.0
525,22.0
526,23.0
527,27.0
528,21.0
529,27.0
530,19.0
531,35.0
532,17.0
533,20.0
534,23.0
535,21.0
536,28.0
537,14.0
538,22.0
539,17.0
540,16.0
541,12.0
542,17.0
543,17.0
544,15.0
545,15.0
546,96.0
547,97.0
548,112.0
549,117.0
550,129.0
551,115.0
552,105.0
553,119.0
554,88.0
555,63.0
556,68.0
557,58.0
558,61.0
559,62.0
560,24.0
561,24.0
562,23.0
563,32.0
564,24.0
565,16.0
566,26.0
567,26.0
568,23.0
569,9.0
570,14.0
571,17.0
572,15.0
573,16.0
574,40.0
575,25.0
576,26.0
577,29.0
578,30.0
579,38.0
580,26.0
581,24.0
582,22.0
583,29.0
584,20.0
585,24.0
586,30.0
587,18.0
588,28.0
589,6.0
590,39.0
591,29.0
592,37.0
593,30.0
594,86.0
595,45.0
596,35.0
597,21.0
598,43.0
599,33.0
600,76.0
601,70.0
602,39.0
603,29.0
604,37.0
605,30.0
606,86.0
607,45.0
608,35.0
609,21.0
610,43.0
611,33.0
612,76.0
613,70.0
614,75.0
615,17.0
616,26.0
617,3.0
618,26.0
619,12.0
620,21.0
621,18.0
622,3.0
623,17.0
624,15.0
625,11.0
626,18.0
627,22.0
628,18.0
629,1.0
630,63.0
631,66.0
632,62.0
633,82.0
634,76.0
635,51.0
636,22.0
637,43.0
638,66.0
639,85.0
640,63.0
641,78.0
642,24.0
643,43.0
644,19.0
645,12.0
646,3.0
647,19.0
648,4.0
649,17.0
650,16.0
651,20.0
652,28.0
653,3.0
654,3.0
655,13.0
656,13.0
657,3.0
658,29.0
659,34.0
660,31.0
661,8.0
662,28.0
663,32.0
664,29.0
665,34.0
666,28.0
667,5.0
668,19.0
669,32.0
670,29.0
671,28.0
672,114.0
673,131.0
674,155.0
675,128.0
676,84.0
677,108.0
678,102.0
679,112.0
680,98.0
681,111.0
682,100.0
683,92.0
684,46.0
685,42.0
686,134.0
687,163.0
688,154.0
689,167.0
690,160.0
691,149.0
692,133.0
693,112.0
694,158.0
695,124.0
696,162.0
697,200.0
698,159.0
699,169.0
700,137.0
701,153.0
702,128.0
703,143.0
704,151.0
705,143.0
706,114.0
707,119.0
708,106.0
709,138.0
710,178.0
711,154.0
712,144.0
713,107.0
714,257.0
715,261.0
716,236.0
717,251.0
718,277.0
719,206.0
720,208.0
721,256.0
722,266.0
723,246.0
724,262.0
725,267.0
726,276.0
727,216.0
728,123.0
729,130.0
730,121.0
731,109.0
732,126.0
733,133.0
734,112.0
735,118.0
736,116.0
737,117.0
738,135.0
739,94.0
740,133.0
741,98.0
742,90.0
743,123.0
744,130.0
745,121.0
746,109.0
747,126.0
748,133.0
749,112.0
750,118.0
751,116.0
752,117.0
753,135.0
754,94.0
755,133.0
756,28.0
757,54.0
758,34.0
759,34.0
760,41.0
761,43.0
762,18.0
763,32.0
764,24.0
765,61.0
766,30.0
767,34.0
768,42.0
769,12.0
770,18.0
771,8.0
772,18.0
773,41.0
774,48.0
775,19.0
776,27.0
777,40.0
778,17.0
779,35.0
780,49.0
781,78.0
782,17.0
783,36.0
784,23.0
785,44.0
786,50.0
787,37.0
788,44.0
789,46.0
790,63.0
791,16.0
792,53.0
793,21.0
794,77.0
795,39.0
796,45.0
797,54.0
798,39.0
799,45.0
800,54.0
801,26.0
802,32.0
803,54.0
804,67.0
805,36.0
806,45.0
807,50.0
808,8.0
809,39.0
810,46.0
811,74.0
812,16.0
813,39.0
814,40.0
815,40.0
816,35.0
817,37.0
818,30.0
819,53.0
820,30.0
821,28.0
822,54.0
823,34.0
824,34.0
825,41.0
826,74.0
827,23.0
828,44.0
829,50.0
830,37.0
831,44.0
832,46.0
833,63.0
834,16.0
835,53.0
836,21.0
837,77.0
838,39.0
839,45.0
840,30.0
841,59.0
842,64.0
843,61.0
844,53.0
845,26.0
846,80.0
847,60.0
848,63.0
849,44.0
850,39.0
851,54.0
852,69.0
853,68.0
854,63.0
855,59.0
856,49.0
857,70.0
858,69.0
859,52.0
860,40.0
861,56.0
862,76.0
863,64.0
864,59.0
865,44.0
866,68.0
867,54.0
868,63.0
869,37.0
870,45.0
871,78.0
872,45.0
873,82.0
874,42.0
875,51.0
876,40.0
877,48.0
878,52.0
879,50.0
880,60.0
881,50.0
882,42.0
883,37.0
884,26.0
885,28.0
886,44.0
887,32.0
888,14.0
889,27.0
890,28.0
891,24.0
892,16.0
893,19.0
